_id,ltable_id,rtable_id,title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm,gold
967756,683,944,75.5,17,0.83,0.785437381710751,0.8712624290264506,70,82,0.6346153846153846,0.7784123071032283,0.8354430379746836,0.7764705882352941,0.935294117647058,17,0.5142857142857142,0.8380952380952381,0.9028571428571429,1,18,0.5,0.6984538909891174,0.95,0.6666666666666666,0.9911111111111112,8,21,0.41666666666666663,0.6844729344729344,0.8106837606837607,5,0.2222222222222222,0.3678836036909795,0.42857142857142855,0.36363636363636365,0.7571428571428575,0.000998502246630055,0.999001996007984,0.8235294117647058,0.41666666666666663,0.12275731822474033,0.8843416370106761,0
1027704,723,1929,38.5,12,0.7894736842105263,0.9298245614035089,0.9578947368421054,33,45,0.7758620689655172,0.8771413225336318,0.9574468085106383,0.8737864077669902,0.9374764595103581,57,0.24,0.5892592592592593,0.5892592592592593,-39,18,0.20253164556962025,0.41311822359545775,0.8,0.3368421052631579,0.6897546897546905,-1.5,18,0.3076923076923077,0.7692307692307692,0.8615384615384615,-10,0.26666666666666666,0.47809144373375745,0.8,0.42105263157894735,0.7706349206349209,0,1,0.13333333333333333,0.875,0.05422647527910686,0.9472049689440993,0
1039392,732,862,34,0,1,1,1,34,34,1,1,1,1,1,20,0.375,0.7916666666666666,0.875,-8,12,0.3333333333333333,0.5500190982169267,0.8571428571428571,0.5,0.7117647058823534,1,3,0.25,0.5,0.55,1,0.09090909090909091,0.16666666666666669,0.16666666666666666,0.16666666666666666,0.7185185185185183,0,1,0,1,2,0,1
1050409,741,450,19.5,12,0.6842105263157895,0.8947368421052632,0.9368421052631579,14,26,0.6190476190476191,0.7768985960673559,0.9285714285714286,0.7647058823529411,0.8483333333333338,13,0.45833333333333337,0.8194444444444443,0.8916666666666666,-2,11,0.39285714285714285,0.5983211225424633,0.8461538461538461,0.5641025641025641,0.7735042735042738,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0,1,0,1,0.039660056657223795,0.9611111111111111,0
1088495,769,407,40.5,12,0.7966101694915254,0.9322033898305085,0.9593220338983052,35,47,0.7419354838709677,0.8571593913749195,0.9583333333333334,0.8518518518518519,0.9238615664845176,3,0.96,0.9102777777777779,0.9461666666666667,69,69,0.9473684210526315,0.9730618248952598,0.9863013698630136,0.972972972972973,0.9975975975975976,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0,1,0,1,0.062370062370062374,0.939516129032258,1
1120397,792,500,36,1,0.972972972972973,0.981981981981982,0.9891891891891892,36,36,0.8571428571428571,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9846153846153848,3,0.8571428571428572,0.9523809523809524,0.9714285714285714,15,15,0.7916666666666666,0.8858795678282981,0.95,0.8837209302325582,0.9911111111111112,16,0,1,1,1,16,1,1,1,1,1,0,1,0,1,0.04699738903394256,0.9540816326530612,1
1137178,802,29,53,8,0.8787878787878788,0.839003713346203,0.9034022280077219,51,51,0.7083333333333334,0.8306144860301817,0.8793103448275862,0.8292682926829268,0.9235294117647059,0,1,1,1,24,24,1,1,1,1,1,8.5,9,0.5909090909090908,0.8398268398268399,0.903896103896104,5,0.3793103448275862,0.5613413993878117,0.6875,0.55,0.9375,0.0005003752814610958,0.9994997498749375,1.6923076923076923,0.08333333333333337,0.06928406466512702,0.9330357142857143,1
1155916,816,1068,84.5,33,0.7555555555555555,0.8613289760348585,0.9167973856209151,69,86,0.64,0.7945016530582734,0.96,0.7804878048780488,0.9260340632603402,0,1,1,1,29,29,1,1,1,1,1,3,12,0.2941176470588235,0.5204248366013072,0.5683823529411764,3,0.027777777777777776,0.05407380704358752,0.05555555555555555,0.05405405405405406,0.6691358024691357,0,1,0,1,0,1,1
1200768,847,1813,8.5,8,0.6190476190476191,0.7832722832722833,0.86996336996337,5,9,0.5833333333333334,0.7537346628814318,0.9333333333333333,0.7368421052631579,0.9881481481481482,16,0.1578947368421053,0.4543859649122807,0.4543859649122807,-6,2,0,0,0,0,0.6759259259259257,-5.5,24,0.1428571428571429,0.529532967032967,0.529532967032967,-11,0,0,0,0,0.5918518518518517,0.0015003750937734434,0.9985007496251874,1.3333333333333333,0.19999999999999996,0.9107981220657277,0.37419354838709673,0
1206487,851,1751,47,0,1,1,1,47,47,1,1,1,1,1,0,1,1,1,14,14,1,1,1,1,1,6,3,0.7272727272727273,0.9090909090909092,0.9454545454545455,5,0.5333333333333333,0.7016464154456235,0.8,0.6956521739130435,0.87008547008547,0.0049800796812749,0.9950322901142573,0.6666666666666666,0.5,2,0,0
